Date,LLOY.L,BARC.L,VOD.L,RIO.L,NG.L,BATS.L,GSK.L,Relx,BP.L,SGE.L,SMIN.L,ASC.L,DOM.L,LAND.L,TSCO.L
01/03/2002,0.094333796,0.06641262,-0.030642169,-0.023910193,0.002165418,0.037663282,-0.033997584,0.0749814,0.079739591,0.091799864,0.140647592,0,0.046982396,0.014772496,-0.041749228
01/04/2002,0.094313323,0.110599145,-0.146491989,-0.061648594,0.062059919,0.074175092,0.003627515,-0.013217371,-0.063200402,-0.123893689,0.010098091,-0.066666667,0.160246025,0.067188978,0.091286347
01/05/2002,-0.062103854,-0.02074683,-0.066847247,0.023473963,0.016263131,0.170000047,-0.154217194,-0.011576171,-0.002561766,-0.11363629,0.083950597,0,0.110336982,0.027282464,-0.005886349
01/06/2002,-0.117567406,-0.064407098,-0.128751565,-0.081804059,-0.068001859,-0.139194013,0.016193264,-0.050989993,-0.051020591,-0.033385487,-0.029612831,-0.285714286,-0.035168178,-0.118488371,-0.072815453
01/07/2002,-0.02067412,-0.114130014,0.091714863,-0.084096554,-0.033446414,0.017021439,-0.124030949,-0.117881933,-0.097184422,-0.212389335,-0.090375634,0.25,-0.057300023,-0.022019216,-0.08376958
01/08/2002,-0.125879414,-0.053169961,0.067010356,0.030908873,0.022069505,0.048814157,-0.014638763,0.049090799,0.007042188,-0.033708296,-0.060000137,-0.2,-0.030489986,-0.026829139,-0.032000095
01/09/2002,-0.144321701,-0.186100543,-0.212560303,-0.082753783,0,-0.125479357,0.011513598,-0.047498781,-0.144403301,-0.127907326,-0.12010933,-0.125,-0.086212353,-0.067669469,-0.028335262
01/10/2002,0.171459118,0.189770985,0.261350005,0.130137201,0.007753241,0.009259215,-0.008129885,0.032936777,-0.035294213,0.297778211,0.14430531,-0.114285714,-0.018862087,0.030242314,-0.027146675
01/11/2002,-0.013636371,0.05203617,0.186770632,0.127272349,-0.052197478,-0.113149927,-0.006623998,0.000886098,0.020731674,0.073630395,0.037043747,-0.225806452,0.153846185,0.00978458,0.023959913
01/12/2002,-0.177880079,-0.172043305,-0.060104588,-0.047619075,0.058549934,0.069827322,-0.009143718,-0.058407891,0.030145658,-0.151515121,-0.063929788,-0.125,0.027775971,0.027401561,-0.044335113
